scenario	node_id	x	y	width	height	scale	order	semantic_name	label
deffuant	parameter:backfire_threshold	0.52	0.1	0.92	0.042	parameter	2	backfire threshold	Backfire threshold
deffuant	micro_opinion_p25	1.77	0.902	1.04	0.042	micro	0	25th percentile agent opinion	P25 agent opinion
deffuant	micro_opinion_std	1.77	0.8485333333333334	1.04	0.042	micro	1	Agent opinion standard deviation	Agent opinion SD
deffuant	micro_median_opinion	1.77	0.7950666666666667	1.04	0.042	micro	2	Median agent opinion	Median agent opinion
deffuant	micro_mean_interaction_distance	1.77	0.7416	1.04	0.046	micro	3	Mean sampled interaction opinion distance	"Mean interact. opinion
distance"
deffuant	micro_interaction_distance_std	1.77	0.6881333333333334	1.04	0.042	micro	4	Sampled interaction distance standard deviation	Interact. distance SD
deffuant	micro_accepted_fraction	1.77	0.6346666666666667	1.04	0.046	micro	5	Assimilation encounter fraction	"Assimilation encounter
frac."
deffuant	micro_backfire_fraction	1.77	0.5811999999999999	1.04	0.046	micro	6	Backfire encounter fraction	"Backfire encounter
frac."
deffuant	micro_rejected_fraction	1.77	0.5277333333333334	1.04	0.046	micro	7	Rejected encounter fraction	"Rejected encounter
frac."
deffuant	micro_rewiring_fraction	1.77	0.47426666666666667	1.04	0.042	micro	8	Tie rewiring fraction	Tie rewiring frac.
deffuant	micro_mean_abs_agent_shift	1.77	0.4208	1.04	0.046	micro	9	Mean absolute opinion update	"Mean abs. opinion
update"
deffuant	micro_agent_shift_std	1.77	0.3673333333333333	1.04	0.042	micro	10	Opinion update standard deviation	Opinion update SD
deffuant	micro_sign_flip_fraction	1.77	0.3138666666666666	1.04	0.042	micro	11	Opinion sign-flip fraction	Opinion sign-flip frac.
deffuant	micro_extreme_agent_fraction	1.77	0.26039999999999996	1.04	0.042	micro	12	Extreme opinion fraction	Extreme opinion frac.
deffuant	micro_mean_abs_opinion	1.77	0.2069333333333333	1.04	0.042	micro	13	Mean absolute agent opinion	Mean abs. agent opinion
deffuant	micro_accepted_count	1.77	0.15346666666666664	1.04	0.046	micro	14	Accepted interaction count	"Accepted interact.
count"
deffuant	micro_edge_rewired_count	1.77	0.1	1.04	0.042	micro	15	Rewired tie count	Rewired tie count
deffuant	meso_neighborhood_opinion_std	3.08	0.902	1.15	0.042	meso	0	Mean neighborhood opinion standard deviation	Mean nbr. opinion SD
deffuant	meso_neighborhood_opinion_variance	3.08	0.7874285714285715	1.15	0.042	meso	1	Mean neighborhood opinion variance	Mean nbr. opinion var.
deffuant	meso_neighborhood_abs_opinion_std	3.08	0.6728571428571428	1.15	0.046	meso	2	Mean neighborhood absolute opinion standard deviation	"Mean nbr. abs. opinion
SD"
deffuant	meso_neighborhood_abs_opinion_variance	3.08	0.5582857142857143	1.15	0.046	meso	3	Mean neighborhood absolute opinion variance	"Mean nbr. abs. opinion
var."
deffuant	meso_neighborhood_interaction_distance_std	3.08	0.4437142857142857	1.15	0.046	meso	4	Mean neighborhood interaction distance standard deviation	"Mean nbr. interact.
distance SD"
deffuant	meso_neighborhood_interaction_distance_variance	3.08	0.3291428571428572	1.15	0.046	meso	5	Mean neighborhood interaction distance variance	"Mean nbr. interact.
distance var."
deffuant	meso_neighborhood_agent_shift_std	3.08	0.21457142857142852	1.15	0.046	meso	6	Mean neighborhood opinion shift standard deviation	"Mean nbr. opinion shift
SD"
deffuant	meso_neighborhood_agent_shift_variance	3.08	0.1	1.15	0.046	meso	7	Mean neighborhood opinion shift variance	"Mean nbr. opinion shift
var."
deffuant	macro_opinion_global_mean	4.42	0.902	1.1	0.042	macro	0	Whole-system mean opinion	Global mean opinion
deffuant	macro_opinion_global_variance	4.42	0.6346666666666667	1.1	0.042	macro	1	Whole-system opinion variance	Global opinion var.
deffuant	macro_network_largest_component_fraction	4.42	0.3673333333333333	1.1	0.046	macro	2	Largest network component fraction	"Largest network
component frac."
deffuant	macro_network_assortativity	4.42	0.1	1.1	0.046	macro	3	Network opinion assortativity	"Network opinion
assortativity"
