scenario,path_id,parameter,hypothesis_group_id,micro,meso,macro,micro_meso_retained,micro_meso_lag,micro_meso_beta,micro_meso_q,micro_meso_support,meso_macro_retained,meso_macro_lag,meso_macro_beta,meso_macro_q,meso_macro_support,path_temporally_qualified
deffuant,as_plus_shift_diststd_assort,assimilation_strength,macro_outcome_macro_network_assortativity,micro_mean_abs_agent_shift,meso_neighborhood_interaction_distance_std,macro_network_assortativity,True,5.0,0.1646989334817379,6.726975052895326e-33,0.9,True,1.0,0.009892685039897384,3.102293358496985e-13,1.0,True
deffuant,as_minus_shift_absostd_gmean,assimilation_strength,macro_outcome_macro_opinion_global_mean,micro_mean_abs_agent_shift,meso_neighborhood_abs_opinion_std,macro_opinion_global_mean,True,1.0,-0.03905997412465214,2.5406775171597046e-20,1.0,False,,,,,False
deffuant,bt_plus_backfire_ovar_gvar,backfire_threshold,macro_outcome_macro_opinion_global_variance,micro_backfire_fraction,meso_neighborhood_opinion_variance,macro_opinion_global_variance,False,,,,,True,1.0,0.03593191177695769,8.354852619201334e-23,1.0,False
deffuant,bt_minus_backfire_ostd_gvar,backfire_threshold,macro_outcome_macro_opinion_global_variance,micro_backfire_fraction,meso_neighborhood_opinion_std,macro_opinion_global_variance,False,,,,,True,1.0,-0.02542647407126148,1.451993561635402e-11,0.97,False
deffuant,bt_plus_backfire_distvar_lcc,backfire_threshold,macro_outcome_macro_network_largest_component_fraction,micro_backfire_fraction,meso_neighborhood_interaction_distance_variance,macro_network_largest_component_fraction,False,,,,,False,,,,,False
deffuant,bt_minus_backfire_diststd_assort,backfire_threshold,macro_outcome_macro_network_assortativity,micro_backfire_fraction,meso_neighborhood_interaction_distance_std,macro_network_assortativity,False,,,,,True,1.0,0.009892685039897384,3.102293358496985e-13,1.0,False
deffuant,bt_plus_backfire_shiftstd_gmean,backfire_threshold,macro_outcome_macro_opinion_global_mean,micro_backfire_fraction,meso_neighborhood_agent_shift_std,macro_opinion_global_mean,True,1.0,0.07523786710081133,1.011249039195605e-14,1.0,True,1.0,0.0011978539168080989,0.039105579189837494,0.71,True
deffuant,bt_minus_backfire_absostd_assort,backfire_threshold,macro_outcome_macro_network_assortativity,micro_backfire_fraction,meso_neighborhood_abs_opinion_std,macro_network_assortativity,True,1.0,0.01638203097161896,0.00019188356559801868,0.98,False,,,,,False
schelling,tol_plus_unhappy_to_move_std_to_global_moved,tolerance,macro_outcome_macro_global_moved_fraction,unhappy_fraction,meso_district_move_fraction_std,macro_global_moved_fraction,True,5.0,-1.021119994928868,3.204976611448868e-23,1.0,True,4.0,0.07719990193953283,9.45694212333021e-08,1.0,True
schelling,tol_plus_unhappy_to_boundary_std_to_spatial_sim,tolerance,macro_outcome_macro_global_spatial_neighbor_similarity,unhappy_fraction,meso_district_boundary_fraction_std,macro_global_spatial_neighbor_similarity,True,5.0,0.3186059555748813,9.71157698454494e-08,1.0,False,,,,,False
schelling,tol_plus_unhappy_to_group_entropy_to_components,tolerance,macro_outcome_macro_global_connected_components,unhappy_fraction,meso_district_group_entropy_mean,macro_global_connected_components,True,1.0,-0.040344290304215,1.2976722736670129e-05,1.0,True,1.0,-0.1199195353682889,1.2976722736670129e-05,0.96,True
schelling,tol_minus_unhappy_to_unhappy_std_to_components,tolerance,macro_outcome_macro_global_connected_components,unhappy_fraction,meso_district_unhappy_fraction_std,macro_global_connected_components,True,1.0,0.21471592049038463,5.5406259972901116e-12,0.98,True,1.0,0.037070749079935704,1.2113490216662077e-10,1.0,True
schelling,tol_minus_unhappy_to_move_std_to_spatial_sim,tolerance,macro_outcome_macro_global_spatial_neighbor_similarity,unhappy_fraction,meso_district_move_fraction_std,macro_global_spatial_neighbor_similarity,True,5.0,-1.021119994928868,4.006220764311085e-23,1.0,True,1.0,-0.028313719057688497,3.765316018919712e-16,1.0,True
schelling,tol_plus_unhappy_to_dest_std_to_components,tolerance,macro_outcome_macro_global_connected_components,unhappy_fraction,meso_district_destination_similarity_std,macro_global_connected_components,True,5.0,-0.741309365855749,5.88571088811642e-17,1.0,True,1.0,-0.017153179989439334,1.1369834963175915e-05,1.0,True
schelling,move_plus_response_to_move_std_to_global_moved,move_probability,macro_outcome_macro_global_moved_fraction,relocation_response_fraction,meso_district_move_fraction_std,macro_global_moved_fraction,True,2.0,-0.028570209898177365,0.0009976627818791854,1.0,True,4.0,0.07719990193953283,9.45694212333021e-08,1.0,True
schelling,move_plus_moved_to_dest_std_to_spatial_sim,move_probability,macro_outcome_macro_global_spatial_neighbor_similarity,moved_fraction,meso_district_destination_similarity_std,macro_global_spatial_neighbor_similarity,True,1.0,-0.13813763828356754,4.343333146280408e-06,0.99,True,1.0,0.05769395039596003,5.102158909616393e-68,1.0,True
schelling,move_minus_response_to_unhappy_std_to_global_unhappy,move_probability,macro_outcome_macro_global_unhappy_fraction,relocation_response_fraction,meso_district_unhappy_fraction_std,macro_global_unhappy_fraction,True,1.0,-0.015307166344495002,5.761297841746759e-07,1.0,True,5.0,0.004610231626037615,0.034158343574161705,0.94,True
schelling,move_minus_moved_to_boundary_std_to_components,move_probability,macro_outcome_macro_global_connected_components,moved_fraction,meso_district_boundary_fraction_std,macro_global_connected_components,True,5.0,-0.048166570970394916,0.0018956673126566328,0.98,True,2.0,0.010014994680480682,0.04096140311412467,0.82,True
schelling,move_plus_moved_to_neighbour_std_to_global_unhappy,move_probability,macro_outcome_macro_global_unhappy_fraction,moved_fraction,meso_district_neighbour_count_std,macro_global_unhappy_fraction,True,2.0,-0.05995158139714362,4.79410143518086e-11,1.0,True,2.0,-0.014825198702628328,9.503265781858382e-06,0.96,True
schelling,dest_plus_dest_sim_to_dest_std_to_spatial_sim,destination_preference,macro_outcome_macro_global_spatial_neighbor_similarity,mean_destination_similarity_movers,meso_district_destination_similarity_std,macro_global_spatial_neighbor_similarity,True,4.0,0.06752602823936753,3.1115094511817392e-06,1.0,True,1.0,0.05769395039596003,5.102158909616393e-68,1.0,True
schelling,dest_plus_dest_sim_to_boundary_std_to_global_unhappy,destination_preference,macro_outcome_macro_global_unhappy_fraction,mean_destination_similarity_movers,meso_district_boundary_fraction_std,macro_global_unhappy_fraction,True,1.0,-0.013960269784072934,0.0019249131729407486,0.92,True,1.0,0.00762818373982641,0.028288526666016302,0.87,True
schelling,dest_plus_dest_sim_to_group_entropy_to_components,destination_preference,macro_outcome_macro_global_connected_components,mean_destination_similarity_movers,meso_district_group_entropy_mean,macro_global_connected_components,True,1.0,-0.0076726675416978465,3.8687645877577895e-45,1.0,True,1.0,-0.1199195353682889,1.2976722736670129e-05,0.96,True
schelling,dest_minus_dest_sim_to_dest_std_to_global_unhappy,destination_preference,macro_outcome_macro_global_unhappy_fraction,mean_destination_similarity_movers,meso_district_destination_similarity_std,macro_global_unhappy_fraction,True,4.0,0.06752602823936753,3.911611881485615e-06,1.0,True,1.0,-0.0333856367945291,5.725932849791328e-102,1.0,True
schelling,dest_minus_dest_sim_to_move_std_to_components,destination_preference,macro_outcome_macro_global_connected_components,mean_destination_similarity_movers,meso_district_move_distance_std,macro_global_connected_components,True,4.0,0.039100340236638095,0.0018956673126566328,0.91,True,1.0,-0.0123496361658094,0.0013330077450049878,0.92,True
